verse,refrence
"There is neither Jew nor Gentile, neither slave nor free, nor is there male and female, for you are all one in Christ Jesus.",John 13:14
"For he has rescued us from the dominion of darkness and brought us into the kingdom of the Son he loves, in whom we have redemption, the forgiveness of sins.",John 15:26
"“Abba, Father,” he said, “everything is possible for you. Take this cup from me. Yet not what I will, but what you will.”",Galatians 3:28
"“Don’t be alarmed,” he said. “You are looking for Jesus the Nazarene, who was crucified. He has risen! He is not here. See the place where they laid him.”",Colossians 1:13-14
"Do you think I cannot call on my Father, and he will at once put at my disposal more than twelve legions of angels?",Mark 14:36
"My Father’s house has many rooms; if that were not so, would I have told you that I am going there to prepare a place for you?",Mark 16:6
"Have I not commanded you? Be strong and courageous. Do not be afraid; do not be discouraged, for the Lordyour God will be with you wherever you go.",John 14:2
"Do you think I cannot call on my Father, and he will at once put at my disposal more than twelve legions of angels?",Joshua 1:9
For I resolved to know nothing while I was with you except Jesus Christ and him crucified.,Matthew 26:53
"Jesus answered, “If you want to be perfect, go, sell your possessions and give to the poor, and you will have treasure in heaven. Then come, follow me.”",1 Corinthians 2:2
"After he said this, he was taken up before their very eyes, and a cloud hid him from their sight.",Matthew 19:21
"Just as a body, though one, has many parts, but all its many parts form one body, so it is with Christ.",Acts 1:9
"But you, Bethlehem Ephrathah,though you are small among the clans of Judah,out of you will come for meone who will be ruler over Israel,whose origins are from of old,from ancient times.",1 Corinthians 12:12
"But the angel said to her, “Do not be afraid, Mary; you have found favor with God. You will conceive and give birth to a son, and you are to call him Jesus.”",Micah 5:2
"But the gift is not like the trespass. For if the many died by the trespass of the one man, how much more did God’s grace and the gift that came by the grace of the one man, Jesus Christ, overflow to the many!",Luke 1:30-31
"They were looking intently up into the sky as he was going, when suddenly two men dressed in white stood beside them. “Men of Galilee,” they said, “why do you stand here looking into the sky? This same Jesus, who has been taken from you into heaven, will come back in the same way you have seen him go into heaven.”",Romans 5:15
"All this took place to fulfill what the Lord had said through the prophet: “The virgin will conceive and give birth to a son, and they will call him Immanuel” (which means “God with us”).",Acts 1:10-11
"But the Advocate, the Holy Spirit, whom the Father will send in my name, will teach you all things and will remind you of everything I have said to you.",Matthew 1:22-23
"Therefore the Lord himself will give you a sign: The virgin will conceive and give birth to a son, and will call him Immanuel.",John 14:26
"Paul said, “John’s baptism was a baptism of repentance. He told the people to believe in the one coming after him, that is, in Jesus.”",Isaiah 7:14
"Jesus, full of the Holy Spirit, left the Jordan and was led by the Spirit into the wilderness, where for forty days he was tempted by the devil. He ate nothing during those days, and at the end of them he was hungry.",Acts 19:4
"But when they saw him walking on the lake, they thought he was a ghost. They cried out, because they all saw him and were terrified. Immediately he spoke to them and said, “Take courage! It is I. Don’t be afraid.”",Luke 4:1-2
"He is not here; he has risen! Remember how he told you, while he was still with you in Galilee: ‘The Son of Man must be delivered over to the hands of sinners, be crucified and on the third day be raised again.’",Mark 6:49-50
"When he had received the drink, Jesus said, “It is finished.” With that, he bowed his head and gave up his spirit.",Luke 24:6-7
"When all the people were being baptized, Jesus was baptized too. And as he was praying, heaven was opened and the Holy Spirit descended on him in bodily form like a dove. And a voice came from heaven: “You are my Son, whom I love; with you I am well pleased.”",John 19:30
"How much more, then, will the blood of Christ, who through the eternal Spirit offered himself unblemished to God, cleanse our consciences from acts that lead to death, so that we may serve the living God!",Luke 3:21-22
"And I myself did not know him, but the one who sent me to baptize with water told me, ‘The man on whom you see the Spirit come down and remain is the one who will baptize with the Holy Spirit.’",Hebrews 9:14
"Wives, submit yourselves to your own husbands as you do to the Lord. For the husband is the head of the wife as Christ is the head of the church, his body, of which he is the Savior.",John 1:33
"Rejoice greatly, Daughter Zion!Shout, Daughter Jerusalem!See, your king comes to you,righteous and victorious,lowly and riding on a donkey,on a colt, the foal of a donkey.",Ephesians 5:22-23
"Jesus called out with a loud voice, “Father, into your hands I commit my spirit.” When he had said this, he breathed his last.",Zechariah 9:9
"The angel said to the women, “Do not be afraid, for I know that you are looking for Jesus, who was crucified. He is not here; he has risen, just as he said. Come and see the place where he lay.”",Luke 23:46
"We are going up to Jerusalem, and the Son of Man will be delivered over to the chief priests and the teachers of the law. They will condemn him to death and will hand him over to the Gentiles to be mocked and flogged and crucified. On the third day he will be raised to life!",Matthew 28:5-6
"When God raised up his servant, he sent him first to you to bless you by turning each of you from your wicked ways.",Matthew 20:18-19
"My Father’s house has many rooms; if that were not so, would I have told you that I am going there to prepare a place for you?",John 14:2
You will seek me and find me when you seek me with all your heart.,Jeremiah 29:13
"When God raised up his servant, he sent him first to you to bless you by turning each of you from your wicked ways.",Acts 3:26
"The crowds that went ahead of him and those that followed shouted,“Hosanna to the Son of David!”“Blessed is he who comes in the name of the Lord!”“Hosanna in the highest heaven!”",Matthew 21:9
"This is how you can recognize the Spirit of God: Every spirit that acknowledges that Jesus Christ has come in the flesh is from God, but every spirit that does not acknowledge Jesus is not from God. This is the spirit of the antichrist, which you have heard is coming and even now is already in the world.",1 John 4:2-3
You who are trying to be justified by the law have been alienated from Christ; you have fallen away from grace.,Galatians 5:4
"Then he took a cup, and when he had given thanks, he gave it to them, saying, “Drink from it, all of you. This is my blood of the covenant, which is poured out for many for the forgiveness of sins.”",Matthew 26:27-28
"While they were eating, Jesus took bread, and when he had given thanks, he broke it and gave it to his disciples, saying, “Take and eat; this is my body.”",Matthew 26:26
"And he is the head of the body, the church; he is the beginning and the firstborn from among the dead, so that in everything he might have the supremacy.",Colossians 1:18
All the prophets testify about him that everyone who believes in him receives forgiveness of sins through his name.,Acts 10:43
"And a voice from heaven said, “This is my Son, whom I love; with him I am well pleased.”",Matthew 3:17
"Examine yourselves to see whether you are in the faith; test yourselves. Do you not realize that Christ Jesus is in you—unless, of course, you fail the test?",2 Corinthians 13:5
I am the good shepherd. The good shepherd lays down his life for the sheep.,John 10:11
"Jesus went throughout Galilee, teaching in their synagogues, proclaiming the good news of the kingdom, and healing every disease and sickness among the people.",Matthew 4:23
"For the Son of Man is going to come in his Father’s glory with his angels, and then he will reward each person according to what they have done.",Matthew 16:27
"My Father’s house has many rooms; if that were not so, would I have told you that I am going there to prepare a place for you?",John 14:2
"For God so loved the world that he gave his one and only Son, that whoever believes in him shall not perish but have eternal life.",John 3:16
